/scratch/sdlab/john/nucmer_regen/assembly.fasta	/scratch/sdlab/john/nucmer_regen/reference.fasta
NUCMER
IDY]	[S1]	[E1]	[COV	[S2]	[E2]	[LEN	1]
scaffold1_size20154211_pilon	6658471	6745719	chromosome_1	1659449	1572165	87249	87285
scaffold1_size20154211_pilon	6745777	6769579	chromosome_1	1572064	1548254	23803	23811
scaffold1_size20154211_pilon	6769971	6771728	chromosome_1	1547902	1546145	1758	1758
scaffold1_size20154211_pilon	6772351	6813929	chromosome_1	1545808	1504200	41579	41609
scaffold1_size20154211_pilon	6814019	6959252	chromosome_1	1504099	1358842	145234	145258
scaffold1_size20154211_pilon	6978435	7009417	chromosome_1	1340620	1309629	30983	30992
scaffold1_size20154211_pilon	7165942	7215178	chromosome_1	1139244	1089946	49237	49299
scaffold1_size20154211_pilon	7324494	7326250	chromosome_1	1352989	1354765	1757	1777
scaffold1_size20154211_pilon	14360691	14360784	chromosome_1	5131722	5131815	94	94
scaffold2_size9099104_pilon	2161295	2161381	chromosome_1	2920764	2920850	87	87
scaffold2_size9099104_pilon	6906039	6906497	chromosome_1	1139244	1139702	459	459
scaffold2_size9099104_pilon	7408000	7408783	chromosome_1	1358075	1358833	784	759
scaffold12_size3125078_pilon	41337	48911	chromosome_1	6912915	6905341	7575	7575
scaffold12_size3125078_pilon	3016837	3018345	chromosome_1	1306732	1308240	1509	1509
scaffold12_size3125078_pilon	3062669	3066190	chromosome_1	1141325	1144847	3522	3523
scaffold22_size972611_pilon	31855	272183	chromosome_1	15500	255926	240329	240427
scaffold22_size972611_pilon	283090	337067	chromosome_1	263304	317297	53978	53994
scaffold22_size972611_pilon	341577	356354	chromosome_1	317239	332019	14778	14781
scaffold22_size972611_pilon	356428	404576	chromosome_1	332120	380300	48149	48181
scaffold22_size972611_pilon	415511	437602	chromosome_1	437266	459376	22092	22111
scaffold22_size972611_pilon	442682	571314	chromosome_1	459371	588037	128633	128667
scaffold22_size972611_pilon	571462	573233	chromosome_1	588138	589912	1772	1775
scaffold22_size972611_pilon	574034	574880	chromosome_1	590474	591321	847	848
scaffold22_size972611_pilon	574937	588304	chromosome_1	591790	605164	13368	13375
scaffold22_size972611_pilon	588402	591067	chromosome_1	605265	607934	2666	2670
scaffold22_size972611_pilon	591150	591965	chromosome_1	608035	608850	816	816
scaffold22_size972611_pilon	592730	593573	chromosome_1	609925	610769	844	845
scaffold22_size972611_pilon	595637	602057	chromosome_1	612147	618563	6421	6417
scaffold22_size972611_pilon	602060	612258	chromosome_1	618500	628693	10199	10194
scaffold22_size972611_pilon	612445	627039	chromosome_1	644690	659289	14595	14600
scaffold22_size972611_pilon	637584	638775	chromosome_1	670380	671571	1192	1192
scaffold22_size972611_pilon	639131	640235	chromosome_1	671772	672876	1105	1105
scaffold22_size972611_pilon	641132	681891	chromosome_1	673662	714443	40760	40782
scaffold22_size972611_pilon	681789	777621	chromosome_1	714226	810066	95833	95841
scaffold22_size972611_pilon	777472	936393	chromosome_1	809875	968855	158922	158981
scaffold22_size972611_pilon	949645	971153	chromosome_1	974315	995875	21509	21561
scaffold3_size8431429_pilon	2940161	2945827	chromosome_1	6264050	6258384	5667	5667
scaffold3_size8431429_pilon	7863628	7863693	chromosome_1	5131620	5131685	66	66
scaffold3_size8431429_pilon	8115838	8115953	chromosome_1	6436382	6436497	116	116
scaffold3_size8431429_pilon	8253198	8253513	chromosome_1	6936822	6937137	316	316
scaffold10_size3638799_pilon	1646493	1646622	chromosome_1	1350352	1350485	130	134
scaffold10_size3638799_pilon	1685528	1686264	chromosome_1	1340746	1341484	737	739
scaffold10_size3638799_pilon	1697119	1697503	chromosome_1	1296266	1296650	385	385
scaffold10_size3638799_pilon	1697572	1697683	chromosome_1	1350518	1350629	112	112
scaffold25_size733346_pilon	310681	311439	chromosome_1	6710041	6710842	759	802
scaffold4_size6206177_pilon	2508797	2509676	chromosome_1	1308595	1309475	880	881
scaffold7_size5221019_pilon	1920172	1925840	chromosome_1	6561092	6566760	5669	5669
scaffold7_size5221019_pilon	5187300	5187537	chromosome_1	1060037	1060274	238	238
scaffold15_size3084122_pilon	1000152	1000312	chromosome_1	1079915	1079756	161	160
scaffold15_size3084122_pilon	1480358	1481735	chromosome_1	6959427	6960780	1378	1354
scaffold24_size867617_pilon	840467	849669	chromosome_1	2000057	1990855	9203	9203
scaffold6_size7605625_pilon	5733888	5734201	chromosome_1	3603717	3604030	314	314
scaffold14_size2782697_pilon	1822785	1823342	chromosome_1	973507	972952	558	556
scaffold21_size1110260_pilon	1079141	1089697	chromosome_1	14090	3504	10557	10587
scaffold32_size125501_pilon	1	46410	chromosome_1	1009327	1055743	46410	46417
scaffold32_size125501_pilon	57681	71307	chromosome_1	1065864	1079489	13627	13626
scaffold61_size391_pilon	1	385	chromosome_1	7771389	7771773	385	385
scaffold1_size20154211_pilon	88879	89001	chromosome_10	783169	783291	123	123
scaffold1_size20154211_pilon	218336	218746	chromosome_10	6576019	6575618	411	402
scaffold1_size20154211_pilon	13017087	13017938	chromosome_10	1731843	1732686	852	844
scaffold16_size2319712_pilon	861356	861433	chromosome_10	653446	653521	78	76
scaffold8_size5106655_pilon	899	174783	chromosome_10	6572887	6398979	173885	173909
scaffold8_size5106655_pilon	174901	190440	chromosome_10	6398346	6382803	15540	15544
scaffold8_size5106655_pilon	190382	204904	chromosome_10	6382702	6368134	14523	14569
scaffold8_size5106655_pilon	205040	238695	chromosome_10	6367545	6333872	33656	33674
scaffold8_size5106655_pilon	241079	357745	chromosome_10	6332352	6215659	116667	116694
scaffold8_size5106655_pilon	357789	373108	chromosome_10	6215558	6200238	15320	15321
scaffold8_size5106655_pilon	373065	502390	chromosome_10	6199815	6070496	129326	129320
scaffold6_size7605625_pilon	891005	891298	chromosome_10	1119725	1120018	294	294
scaffold5_size6089379_pilon	1331582	1331774	chromosome_10	1120029	1120221	193	193
scaffold5_size6089379_pilon	2620651	2621257	chromosome_10	2369312	2369922	607	611
scaffold4_size6206177_pilon	8260	43807	chromosome_10	6062953	6027401	35548	35553
scaffold4_size6206177_pilon	46996	185811	chromosome_10	6026406	5887583	138816	138824
scaffold4_size6206177_pilon	186116	201276	chromosome_10	5887571	5872417	15161	15155
scaffold4_size6206177_pilon	201385	230155	chromosome_10	5872417	5843651	28771	28767
scaffold4_size6206177_pilon	230111	360094	chromosome_10	5843733	5713732	129984	130002
scaffold4_size6206177_pilon	360913	392026	chromosome_10	5713790	5682646	31114	31145
scaffold4_size6206177_pilon	406678	410287	chromosome_10	5668433	5664827	3610	3607
scaffold4_size6206177_pilon	410486	419096	chromosome_10	5664112	5655500	8611	8613
scaffold4_size6206177_pilon	419022	503148	chromosome_10	5655300	5571170	84127	84131
scaffold4_size6206177_pilon	503556	573913	chromosome_10	5571069	5500715	70358	70355
scaffold4_size6206177_pilon	574026	748703	chromosome_10	5500718	5326040	174678	174679
scaffold4_size6206177_pilon	748893	831312	chromosome_10	5326046	5243631	82420	82416
scaffold4_size6206177_pilon	835866	880820	chromosome_10	5243530	5198569	44955	44962
scaffold4_size6206177_pilon	887657	952486	chromosome_10	5198678	5133855	64830	64824
scaffold4_size6206177_pilon	952647	997446	chromosome_10	5133754	5088953	44800	44802
scaffold4_size6206177_pilon	997442	1034777	chromosome_10	5088921	5051612	37336	37310
scaffold4_size6206177_pilon	1035154	1107191	chromosome_10	5051735	4979675	72038	72061
scaffold4_size6206177_pilon	1107330	1140969	chromosome_10	4979814	4946158	33640	33657
scaffold4_size6206177_pilon	1140869	1228785	chromosome_10	4946171	4858244	87917	87928
scaffold4_size6206177_pilon	1269755	1276892	chromosome_10	4817326	4810189	7138	7138
scaffold4_size6206177_pilon	1277009	1305300	chromosome_10	4809382	4781070	28292	28313
scaffold4_size6206177_pilon	1305484	1397893	chromosome_10	4746617	4654190	92410	92428
scaffold4_size6206177_pilon	1402830	1468597	chromosome_10	4651242	4585481	65768	65762
scaffold4_size6206177_pilon	1468592	1486426	chromosome_10	4584909	4567075	17835	17835
scaffold4_size6206177_pilon	1486375	1567824	chromosome_10	4566973	4485519	81450	81455
scaffold4_size6206177_pilon	1569793	1736277	chromosome_10	4485418	4318918	166485	166501
scaffold4_size6206177_pilon	1736275	1856639	chromosome_10	4318817	4198439	120365	120379
scaffold4_size6206177_pilon	1856683	2048921	chromosome_10	4198452	4006227	192239	192226
scaffold4_size6206177_pilon	2048849	2436284	chromosome_10	4006395	3618929	387436	387467
scaffold4_size6206177_pilon	2562176	2563247	chromosome_10	3608928	3607857	1072	1072
scaffold4_size6206177_pilon	2603513	2634495	chromosome_10	3558575	3527580	30983	30996
scaffold4_size6206177_pilon	2647726	2774240	chromosome_10	3517945	3391427	126515	126519
scaffold4_size6206177_pilon	2774287	3042691	chromosome_10	3391326	3122894	268405	268433
scaffold4_size6206177_pilon	3048357	3286782	chromosome_10	3122897	2884466	238426	238432
scaffold4_size6206177_pilon	3404394	3738490	chromosome_10	2766884	2432799	334097	334086
scaffold4_size6206177_pilon	3743230	3799877	chromosome_10	2427983	2371305	56648	56679
scaffold4_size6206177_pilon	3807123	3832640	chromosome_10	2365100	2339587	25518	25514
scaffold4_size6206177_pilon	3832779	3880720	chromosome_10	2339486	2291539	47942	47948
scaffold4_size6206177_pilon	3880704	3933138	chromosome_10	2291438	2239001	52435	52438
scaffold4_size6206177_pilon	3947510	4255306	chromosome_10	2225499	1917710	307797	307790
scaffold4_size6206177_pilon	4255290	4397309	chromosome_10	1917385	1775373	142020	142013
scaffold4_size6206177_pilon	4400312	4430202	chromosome_10	1770470	1740567	29891	29904
scaffold4_size6206177_pilon	4450717	4676943	chromosome_10	1721052	1494812	226227	226241
scaffold4_size6206177_pilon	4679385	4712181	chromosome_10	1494975	1462183	32797	32793
scaffold4_size6206177_pilon	4712656	4973846	chromosome_10	1462082	1200832	261191	261251
scaffold4_size6206177_pilon	4974631	5034468	chromosome_10	1200731	1140873	59838	59859
scaffold4_size6206177_pilon	5034465	5049047	chromosome_10	1135214	1120631	14583	14584
scaffold4_size6206177_pilon	5049101	5053523	chromosome_10	1118828	1114408	4423	4421
scaffold4_size6206177_pilon	5053651	5063520	chromosome_10	1114436	1104563	9870	9874
scaffold4_size6206177_pilon	5063499	5068407	chromosome_10	1104462	1099550	4909	4913
scaffold4_size6206177_pilon	5068566	5106131	chromosome_10	1099449	1061823	37566	37627
scaffold4_size6206177_pilon	5110007	5301306	chromosome_10	1059892	868560	191300	191333
scaffold4_size6206177_pilon	5306972	5381115	chromosome_10	868563	794406	74144	74158
scaffold4_size6206177_pilon	5391391	5392127	chromosome_10	783394	784130	737	737
scaffold4_size6206177_pilon	5396528	5412825	chromosome_10	778996	762697	16298	16300
scaffold4_size6206177_pilon	5412877	5491121	chromosome_10	762698	684454	78245	78245
scaffold4_size6206177_pilon	5524499	5752778	chromosome_10	653142	424831	228280	228312
scaffold4_size6206177_pilon	5752941	5755918	chromosome_10	424730	421763	2978	2968
scaffold4_size6206177_pilon	5756144	5771648	chromosome_10	421602	406100	15505	15503
scaffold4_size6206177_pilon	5777310	5814837	chromosome_10	406100	368569	37528	37532
scaffold4_size6206177_pilon	5816555	5859971	chromosome_10	368468	325029	43417	43440
scaffold4_size6206177_pilon	5880736	5883770	chromosome_10	309328	306294	3035	3035
scaffold4_size6206177_pilon	5883870	5964238	chromosome_10	306294	225927	80369	80368
scaffold4_size6206177_pilon	5969919	6192622	chromosome_10	225930	3177	222704	222754
scaffold4_size6206177_pilon	6195943	6197979	chromosome_10	2695	647	2037	2049
scaffold3_size8431429_pilon	7876585	7877474	chromosome_10	321447	322351	890	905
scaffold9_size10157462_pilon	4205420	4205878	chromosome_11	233019	232561	459	459
scaffold9_size10157462_pilon	8871949	8882848	chromosome_11	192237	181338	10900	10900
scaffold1_size20154211_pilon	230888	231721	chromosome_11	1239	2083	834	845
scaffold1_size20154211_pilon	10477095	10478204	chromosome_11	2204400	2205511	1110	1112
scaffold1_size20154211_pilon	11222942	11223143	chromosome_11	2273987	2274188	202	202
scaffold3_size8431429_pilon	5112300	5112426	chromosome_11	1363398	1363272	127	127
scaffold12_size3125078_pilon	65218	140769	chromosome_11	20396	95946	75552	75551
scaffold12_size3125078_pilon	182460	182724	chromosome_11	5740	5992	265	253
scaffold12_size3125078_pilon	188504	199981	chromosome_11	130239	141719	11478	11481
scaffold12_size3125078_pilon	200201	222621	chromosome_11	141820	164241	22421	22422
scaffold12_size3125078_pilon	222686	239790	chromosome_11	164234	181340	17105	17107
scaffold12_size3125078_pilon	241376	262627	chromosome_11	259583	238318	21252	21266
scaffold12_size3125078_pilon	266586	268135	chromosome_11	234570	233016	1550	1555
scaffold12_size3125078_pilon	268263	269738	chromosome_11	232560	231085	1476	1476
scaffold12_size3125078_pilon	270027	271094	chromosome_11	230859	229790	1068	1070
scaffold12_size3125078_pilon	273286	280567	chromosome_11	227885	220588	7282	7298
scaffold12_size3125078_pilon	284660	285443	chromosome_11	214283	213500	784	784
scaffold12_size3125078_pilon	285977	304751	chromosome_11	259584	278363	18775	18780
scaffold12_size3125078_pilon	313644	378520	chromosome_11	289676	354561	64877	64886
scaffold12_size3125078_pilon	389234	389686	chromosome_11	367554	367170	453	385
scaffold12_size3125078_pilon	391186	432760	chromosome_11	368986	410531	41575	41546
scaffold12_size3125078_pilon	438425	451842	chromosome_11	410527	423998	13418	13472
scaffold12_size3125078_pilon	456381	462756	chromosome_11	436078	429697	6376	6382
scaffold12_size3125078_pilon	463581	466220	chromosome_11	428648	426020	2640	2629
scaffold12_size3125078_pilon	513722	565373	chromosome_11	439734	491395	51652	51662
scaffold12_size3125078_pilon	565430	569761	chromosome_11	491502	495837	4332	4336
scaffold12_size3125078_pilon	570512	572540	chromosome_11	496389	498419	2029	2031
scaffold12_size3125078_pilon	598675	641877	chromosome_11	524297	567507	43203	43211
scaffold12_size3125078_pilon	641948	643558	chromosome_11	567608	569219	1611	1612
scaffold12_size3125078_pilon	644450	655262	chromosome_11	569320	580133	10813	10814
scaffold12_size3125078_pilon	655719	667798	chromosome_11	580764	592858	12080	12095
scaffold12_size3125078_pilon	667987	683216	chromosome_11	592960	608101	15230	15142
scaffold12_size3125078_pilon	683238	691855	chromosome_11	608394	617011	8618	8618
scaffold12_size3125078_pilon	691864	850274	chromosome_11	617112	775531	158411	158420
scaffold12_size3125078_pilon	850828	856729	chromosome_11	775530	781431	5902	5902
scaffold12_size3125078_pilon	862394	963888	chromosome_11	781427	882940	101495	101514
scaffold12_size3125078_pilon	964306	1087143	chromosome_11	884595	1007455	122838	122861
scaffold12_size3125078_pilon	1106867	1137695	chromosome_11	1027192	1058012	30829	30821
scaffold12_size3125078_pilon	1137741	1204600	chromosome_11	1058003	1124863	66860	66861
scaffold12_size3125078_pilon	1204755	1219979	chromosome_11	1124837	1140063	15225	15227
scaffold12_size3125078_pilon	1220155	1309130	chromosome_11	1140064	1229033	88976	88970
scaffold12_size3125078_pilon	1310613	1336741	chromosome_11	1229670	1255815	26129	26146
scaffold12_size3125078_pilon	1342832	1351242	chromosome_11	1263733	1272161	8411	8429
scaffold12_size3125078_pilon	1351265	1416541	chromosome_11	1272262	1337592	65277	65331
scaffold12_size3125078_pilon	1436680	1535084	chromosome_11	2185811	2087368	98405	98444
scaffold12_size3125078_pilon	1535377	1537983	chromosome_11	2087267	2084662	2607	2606
scaffold12_size3125078_pilon	1538874	1590915	chromosome_11	2084274	2032217	52042	52058
scaffold12_size3125078_pilon	1591410	1611456	chromosome_11	2031940	2011894	20047	20047
scaffold12_size3125078_pilon	1611609	1654248	chromosome_11	2011793	1969152	42640	42642
scaffold12_size3125078_pilon	1654481	1665995	chromosome_11	1968540	1957019	11515	11522
scaffold12_size3125078_pilon	1666995	1763946	chromosome_11	1955718	1858749	96952	96970
scaffold12_size3125078_pilon	1763954	1765305	chromosome_11	1858648	1857297	1352	1352
scaffold12_size3125078_pilon	1768684	1769838	chromosome_11	1854039	1852885	1155	1155
scaffold12_size3125078_pilon	1770093	1803575	chromosome_11	1852525	1819071	33483	33455
scaffold12_size3125078_pilon	1808852	1837431	chromosome_11	1819074	1790490	28580	28585
scaffold12_size3125078_pilon	1837425	1933884	chromosome_11	1790389	1693912	96460	96478
scaffold12_size3125078_pilon	1935034	1958888	chromosome_11	1693928	1670080	23855	23849
scaffold12_size3125078_pilon	1958945	2006489	chromosome_11	1670104	1622565	47545	47540
scaffold12_size3125078_pilon	2010089	2177716	chromosome_11	1619019	1451377	167628	167643
scaffold12_size3125078_pilon	2183994	2186974	chromosome_11	1451276	1448296	2981	2981
scaffold12_size3125078_pilon	2192305	2193290	chromosome_11	1442389	1441404	986	986
scaffold12_size3125078_pilon	2193864	2197294	chromosome_11	1441303	1437872	3431	3432
scaffold12_size3125078_pilon	2211783	2217693	chromosome_11	1448302	1442390	5911	5913
scaffold12_size3125078_pilon	2221483	2286125	chromosome_11	1432442	1367792	64643	64651
scaffold12_size3125078_pilon	3116753	3117286	chromosome_11	2287774	2288318	534	545
scaffold10_size3638799_pilon	1207305	1212372	chromosome_11	8384	13456	5068	5073
scaffold2_size9099104_pilon	2181826	2188304	chromosome_11	13915	20405	6479	6491
scaffold16_size2319712_pilon	2241474	2242363	chromosome_11	425195	424306	890	890
scaffold16_size2319712_pilon	2293627	2294222	chromosome_11	3826169	3826775	596	607
scaffold24_size867617_pilon	791013	796202	chromosome_11	2278474	2283697	5190	5224
scaffold24_size867617_pilon	801750	807494	chromosome_11	2365466	2371234	5745	5769
scaffold24_size867617_pilon	854556	861693	chromosome_11	2379133	2371990	7138	7144
scaffold17_size1423078_pilon	1	151863	chromosome_11	2384004	2535875	151863	151872
scaffold17_size1423078_pilon	158999	204929	chromosome_11	2535870	2581789	45931	45920
scaffold17_size1423078_pilon	226163	252385	chromosome_11	2615534	2641781	26223	26248
scaffold17_size1423078_pilon	252552	265419	chromosome_11	2642107	2654978	12868	12872
scaffold17_size1423078_pilon	316113	367557	chromosome_11	2709435	2760901	51445	51467
scaffold17_size1423078_pilon	367447	470139	chromosome_11	2761002	2863719	102693	102718
scaffold17_size1423078_pilon	471578	501651	chromosome_11	2864485	2894563	30074	30079
scaffold17_size1423078_pilon	501707	559175	chromosome_11	2894667	2952180	57469	57514
scaffold17_size1423078_pilon	559209	561865	chromosome_11	2952433	2955091	2657	2659
scaffold17_size1423078_pilon	563844	577148	chromosome_11	2956977	2970301	13305	13325
scaffold17_size1423078_pilon	577197	583343	chromosome_11	2970418	2976565	6147	6148
scaffold17_size1423078_pilon	583478	676788	chromosome_11	2976666	3069996	93311	93331
scaffold17_size1423078_pilon	729625	767257	chromosome_11	3151599	3189234	37633	37636
scaffold17_size1423078_pilon	773555	775728	chromosome_11	3194833	3197036	2174	2204
scaffold17_size1423078_pilon	785435	942115	chromosome_11	3197754	3354452	156681	156699
scaffold17_size1423078_pilon	943560	1039709	chromosome_11	3354553	3450731	96150	96179
scaffold17_size1423078_pilon	1041576	1057277	chromosome_11	3450732	3466429	15702	15698
scaffold17_size1423078_pilon	1059085	1077039	chromosome_11	3466530	3484486	17955	17957
scaffold17_size1423078_pilon	1077226	1136825	chromosome_11	3484488	3544105	59600	59618
scaffold17_size1423078_pilon	1137937	1212447	chromosome_11	3544206	3618717	74511	74512
scaffold17_size1423078_pilon	1212453	1233838	chromosome_11	3618819	3640220	21386	21402
scaffold17_size1423078_pilon	1234197	1253834	chromosome_11	3640216	3659872	19638	19657
scaffold17_size1423078_pilon	1253823	1258553	chromosome_11	3660209	3664944	4731	4736
scaffold17_size1423078_pilon	1262123	1419972	chromosome_11	3668210	3826105	157850	157896
scaffold21_size1110260_pilon	548659	553765	chromosome_11	3085878	3090984	5107	5107
scaffold11_size3602915_pilon	3596257	3596460	chromosome_11	2302	2100	204	203
scaffold25_size733346_pilon	464104	465054	chromosome_11	3097416	3098366	951	951
scaffold44_size56643_pilon	41812	41929	chromosome_11	2283817	2283700	118	118
